Nombre,CAL,P,G,C,showAmountInTable,showInShoppingList,weightOfTheUnit,orderShopping,PP,PG,PC,VALIDATION
Pimentón,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Pimienta negra,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Pimiento fresco o congelado,29,1.3,0.6,4.5,TRUE,TRUE,1,050 - Verdura congelada,17.93%,18.62%,62.07%,OK
Piñones,635,13,60.5,20.5,TRUE,FALSE,1,000 - NONE,8.19%,85.75%,12.91%,0.0685
ProductOne,108,9,4,9,FALSE,FALSE,1,000 - NONE,33.33%,33.33%,33.33%,OK
Puerro,29,2.19,0.29,3.26,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,30.21%,9.00%,44.97%,-0.1583
Queso azul,341,20,29,0.5,TRUE,TRUE,1,190 - Quesos,23.46%,76.54%,0.59%,OK
Queso batido (Hacendado),46,8,0.1,3.5,TRUE,TRUE,1,190 - Quesos,69.57%,1.96%,30.43%,OK
Queso feta,277,16,23.2,1,TRUE,TRUE,1,190 - Quesos,23.10%,75.38%,1.44%,OK
Queso fresco 0MG (Burgo de Arias),58,11,0,3.6,TRUE,TRUE,1,190 - Quesos,75.86%,0.00%,24.83%,OK
Queso lonchas light (Entrepinares),300,28,20,2,TRUE,TRUE,1,190 - Quesos,37.33%,60.00%,2.67%,OK
Queso lonchas light (Havarti),252,27,15,2.2,TRUE,TRUE,1,190 - Quesos,42.86%,53.57%,3.49%,OK
Queso manchego semicurado,408,23,34,2.6,TRUE,TRUE,1,190 - Quesos,22.55%,75.00%,2.55%,OK
"Queso mozzarella, Perlas (Hacendado)",199,15,15,1,TRUE,TRUE,1,190 - Quesos,30.15%,67.84%,2.01%,OK
Queso parmesano,398,33,29,0,TRUE,TRUE,1,190 - Quesos,33.17%,65.58%,0.00%,OK
Queso untar light,142,9.9,8,7.1,TRUE,TRUE,1,190 - Quesos,27.89%,50.70%,20.00%,OK
Rúcula (Hacendado),31,2.6,0.7,3.7,TRUE,TRUE,1,030 - Hoja verde-Cherry-Aguacate-Verduras micro,33.55%,20.32%,47.74%,OK
Sal de mesa,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Salmón fresco,182,18.4,12,0,TRUE,TRUE,1,070 - Pescado fresco envasado,40.44%,59.34%,0.00%,OK
Salsa de soja (Hacendado),74,7.5,0,8.3,TRUE,FALSE,1,090 - Salsas,40.54%,0.00%,44.86%,-0.1459
Salsa Lea Perrins,96,0.8,0.9,21,TRUE,FALSE,1,000 - NONE,3.33%,8.44%,87.50%,OK
